away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,10250,10250,2752,1,0,0.0,0,0.0,93,0,2014-11-15,400585874,-16.5,saturday,2464,0,0,,00:00,60,
1,9457,10250,2752,0,0,0.5,1,1.0,97,0,2014-11-19,400588331,-12.5,wednesday,299,0,1,,00:00,74,fs1
1,9514,10250,2752,0,0,0.5,1,1.0,81,0,2014-11-22,400588337,0,saturday,2617,0,2,,01:00,63,
2,9446,10250,2752,0,0,0.667,1,1.0,89,0,2014-11-25,400588340,-7.0,tuesday,93,0,3,,00:00,62,fs1
5,10250,10250,2752,0,2,0.833,1,0.714,97,0,2014-12-07,400588359,-8.5,sunday,333,0,5,,01:00,84,cbssn
2,9634,10250,2752,0,2,0.286,5,0.75,66,0,2014-12-10,400586916,-27.0,wednesday,85,0,6,,00:00,43,fs1
7,7854,15061,142,0,4,0.778,2,0.556,58,0,2014-12-13,400588371,3.5,saturday,2752,0,5,,21:00,74,espn2
8,7975,9121,2,0,5,0.8,2,0.444,89,0,2014-12-20,400588381,5.0,saturday,2752,0,4,,23:00,88,secn
9,9908,10250,2752,0,3,0.75,3,0.727,71,0,2014-12-28,400588392,-13.0,sunday,526,0,8,,21:00,57,fs1
8,9558,10250,2752,0,3,0.727,3,0.75,70,25,2015-01-01,400588398,-5.0,thursday,46,0,9,,03:00,53,fs1
10,6827,17500,305,0,7,0.769,3,0.5,71,0,2015-01-03,400588401,10.0,saturday,2752,0,7,,19:00,68,fs1
12,10250,10250,2752,0,4,0.857,2,0.714,69,19,2015-01-08,400588408,-7.0,thursday,2550,0,10,,00:00,58,cbssn
11,9100,9100,2086,0,5,0.733,4,0.688,88,0,2015-01-10,400588411,-3.5,saturday,2752,0,11,,21:30,76,
11,6500,6500,222,0,1,0.688,5,0.938,88,5,2015-01-15,400588417,-9.5,thursday,2752,0,15,,02:00,75,fs1
10,10372,10250,2752,0,6,0.625,6,0.647,62,0,2015-01-17,400588418,-9.5,saturday,269,0,11,,17:00,58,
12,8250,12993,2507,0,5,0.667,6,0.737,69,0,2015-01-23,400588427,-1.5,friday,2752,0,14,,00:00,66,
11,10250,10250,2752,0,7,0.55,9,0.632,89,0,2015-01-24,400588428,-15.0,saturday,305,0,12,,17:00,76,
